datetime,open,high,low,close,rsi,ema_9,ema_21,macd_line,ema_diff,ema_distance,atr,volatility_close_std,ema_9_slope,ema_21_slope,future_return,target
2025-05-01 02:10:00,3239.54,3240.29,3235.0,3240.29,38.44558797617695,3241.572018792629,3246.6572749497104,-6.124598527574108,-5.085256157081403,5.085256157081403,6.611171040901044,4.2524305468217,-1.4837991617232547,-2.197468008353553,-0.002589274416796017,-1
2025-05-01 02:15:00,3240.17,3246.89,3240.17,3245.06,48.772295634794844,3242.2696150341035,3246.5120681361004,-5.481771567325723,-4.242453101996944,4.242453101996944,6.618944537979526,3.7827187459680673,-0.2710393293787092,-1.5813345530486913,-0.002979914084793478,-1
2025-05-01 02:20:00,3244.7,3250.03,3241.19,3250.03,57.1036970461316,3243.8216920272835,3246.8318801237274,-4.5191946432864825,-3.010188096443926,3.010188096443926,6.777591356695284,4.325824391564398,1.9291685364974,-0.4621223209537675,-0.0053199508927611605,-1
2025-05-01 02:25:00,3250.05,3251.29,3245.0,3246.39,50.42948251643567,3244.3353536218274,3246.7917092033886,-4.003908510284418,-2.4563555815611835,2.4563555815611835,6.742763402645619,3.9557475764861247,2.7633348291983566,0.13443425367813688,-0.004066054910223271,-1
2025-05-01 02:30:00,3246.18,3248.26,3243.0,3243.47,45.67152651611216,3244.162282897462,3246.489735639444,-3.7875001894390152,-2.3274527419821425,2.3274527419821425,6.636851731028091,3.933011286249349,1.8926678633583833,-0.02233249665641779,-0.00259598516403714,-1
2025-05-01 02:35:00,3243.59,3244.88,3243.33,3244.02,46.72350981384552,3244.1338263179696,3246.265214217676,-3.5309124715181497,-2.131387899706624,2.131387899706624,6.273505178811811,3.5711014485087076,0.3121342906861173,-0.5666659060511847,-0.0036312969710421417,-1
2025-05-01 02:40:00,3243.83,3247.08,3243.75,3244.29,47.28032697960114,3244.165061054376,3246.0856492887965,-3.2681054278878037,-1.9205882344203928,1.9205882344203928,6.063254808896676,3.547691581231427,-0.17029256745126986,-0.7060599145920605,-0.0028511631204362065,-1
2025-05-01 02:45:00,3243.8,3245.09,3240.07,3241.41,42.06924461604816,3243.614048843501,3245.6605902625424,-3.254702696520326,-2.046541419041205,2.046541419041205,5.988736608261197,3.2616941746388806,-0.5482340539606412,-0.8291453769015789,-0.0027272082211136084,-1
2025-05-01 02:50:00,3241.25,3243.76,3239.53,3243.52,46.83891895996139,3243.595239074801,3245.465991147766,-3.0387922637219162,-1.8707520729649332,1.8707520729649332,5.86311256481397,3.0887206988556284,-0.538587243168422,-0.7992230699101128,-0.0032649713891081955,-1
2025-05-01 02:55:00,3243.42,3244.19,3240.64,3241.46,42.99852847296567,3243.168191259841,3245.1018101343325,-2.9993320412877438,-1.933618874491458,1.933618874491458,5.697890238755842,2.8030903580760267,-0.9968697945350868,-0.9838391544640217,-0.003822351656352363,-1
2025-05-01 03:00:00,3241.39,3241.51,3238.25,3240.8,41.77908505794821,3242.694553007873,3244.7107364857566,-2.9868850631269197,-2.0161834778837147,2.0161834778837147,5.523755221701869,2.7319478195734224,-0.9194958356283678,-0.9498537767858579,-0.0035299925944211052,-1
2025-05-01 03:05:00,3241.34,3242.34,3236.59,3237.26,35.73871186000913,3241.6076424062985,3244.033396805233,-3.225487743335634,-2.425754398934714,2.425754398934714,5.539915563008877,3.433395630500684,-1.987596668502647,-1.432594342532866,-0.0028542656444030534,-1
2025-05-01 03:15:00,3231.9,3237.85,3231.29,3235.39,37.58149327578097,3238.8108911400313,3242.244873392755,-3.93416243065667,-3.433982252723581,3.433982252723581,5.758039439533163,4.1751401839401,-3.8836618678415107,-2.4658630930016443,-0.0029022776234085557,-1
2025-05-01 03:20:00,3235.49,3235.82,3231.0,3232.74,34.0223975134118,3237.5967129120254,3241.3807939934136,-4.203293111153926,-3.7840810813881944,3.7840810813881944,5.691036622423662,4.63792925536577,-4.010929494273114,-2.6526028118196336,-0.002137505645365856,-1
