datetime,open,high,low,close,rsi,ema_9,ema_21,macd_line,target,target_up_move,target_down_move
2024-01-03 01:00:00,2060.13989,2062.61011,2059.63989,2062.46997,46.53431982231111,2061.7849612750983,2064.079983374853,-1.9384319590003543,1,2.2900399999998626,0.8100600000002487
2024-01-03 02:00:00,2062.63989,2065.21997,2061.65991,2064.76001,52.071399349942865,2062.3799710200788,2064.141803977139,-1.6190567482844926,1,0.3998999999998887,1.33008000000018
2024-01-03 03:00:00,2064.73999,2065.65991,2063.42993,2065.15991,53.01551663170271,2062.9359588160632,2064.234359070126,-1.3184823609908563,0,-0.22998000000006869,0.6498999999998887
2024-01-03 04:00:00,2065.070068,2065.63989,2064.51001,2064.92993,52.35649762391472,2063.334753052851,2064.297592791024,-1.0863101503077814,0,-0.7900399999998626,1.3598599999995713
2024-01-03 05:00:00,2064.90991,2066.01001,2063.57007,2064.13989,49.98485169540998,2063.495780442281,2064.283256173658,-0.9550523766924925,1,0.22022000000015396,0.609860000000026
2024-01-03 06:00:00,2064.13989,2065.48999,2063.53003,2064.36011,50.67683461403689,2063.668646353825,2064.2902428851435,-0.8237638944956416,0,-1.3501000000001113,3.330081000000064
2024-01-03 07:00:00,2064.26001,2064.32007,2061.030029,2063.01001,46.31212650321931,2063.53691908306,2064.173858077403,-0.8192152102164982,0,-2.9199220000000423,3.9799809999999525
2024-01-03 08:00:00,2063.050049,2064.36011,2059.030029,2060.090088,38.37055258179455,2062.847552866448,2063.8026062521844,-1.0392438910776036,0,-3.2001980000000003,5.700198
2024-01-03 09:00:00,2060.050049,2060.65991,2054.38989,2056.88989,31.742119553400542,2061.6560202931587,2063.174177501986,-1.4550742491192068,0,-1.91991999999982,4.149899999999889
2024-01-03 10:00:00,2056.80005,2057.19995,2052.73999,2054.96997,28.464353743068443,2060.318810234527,2062.4283404563507,-1.9174412333495638,0,-7.429930000000013,8.13000000000011
2024-01-03 11:00:00,2054.94995,2055.71997,2046.83997,2047.54004,19.711903615781523,2057.7630561876217,2061.074858596682,-2.8505443550875498,0,-1.7800300000001243,5.670040000000199
2024-01-03 12:00:00,2047.64001,2048.38989,2041.87,2045.76001,18.2205206138793,2055.3624469500974,2059.6825996333473,-3.6911199136561663,0,-4.680053999999927,6.890010000000075
2024-01-03 13:00:00,2045.79004,2047.98999,2038.87,2041.079956,14.922314180990512,2052.505948760078,2057.9914502121337,-4.6809641044014825,0,-3.1099859999999353,9.149906000000101
2024-01-03 14:00:00,2041.14001,2042.37,2031.93005,2037.96997,13.163022901972099,2049.5987530080624,2056.1713156473943,-5.6512287882687815,0,-5.3699900000001435,6.010010000000193
